gene_id,cancer_cohort,effect_size,effect_size_label,adjusted_p_value,de_score,cancer_association_raw_score,cancer_association_score,cancer_association_availability,clinical_category,clinical_direction,clinical_score,clinical_availability,cross_cancer_cohort_count,cross_cancer_score,cross_cancer_availability,functional_description,pathway_count,final_score,rank,scoring_version
LYZL2,TCGA-BRCA,0.5626950271074221,log2_fold_change,1.0613621884896665e-22,0.524544853692243,0.0037,0.0037,available,,,0.0,no_support,3,1.0,available,lysozyme like 2,0,0.38206121342306076,6412,1.0
RPL4,TCGA-BRCA,-0.5465734611140434,log2_fold_change,4.017185876151816e-29,0.5128282160668148,0.015412,0.015412,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,ribosomal protein L4,16,0.38206005401670373,6413,1.0
KDM4D,TCGA-BRCA,-0.5611771761902462,log2_fold_change,8.1712093502062e-28,0.5235834885537464,0.004327,0.004327,available,,,0.0,no_support,3,1.0,available,lysine demethylase 4D,1,0.38197762213843656,6414,1.0
TTLL9,TCGA-BRCA,0.5669997904972099,log2_fold_change,7.820469326946941e-09,0.5278495463558253,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,tubulin tyrosine ligase like 9,1,0.3819623865889563,6415,1.0
BEND4,TCGA-BRCA,-0.5669827352108621,log2_fold_change,5.766007186006366e-06,0.5277894610346693,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,BEN domain containing 4,0,0.38194736525866735,6416,1.0
IL21R,TCGA-BRCA,2.4148230309136567,log2_fold_change,2.5192950531461588e-50,0.9464639788499669,0.081307,0.081307,available,unprognostic - favorable,favorable,0.0,available,2,0.5,available,interleukin 21 receptor,1,0.38194274471249173,6417,1.0
PCK1,TCGA-BRCA,-5.6219630747333245,log2_fold_change,2.637983835981823e-40,0.998678122934567,0.029042,0.029042,available,,,0.0,no_support,2,0.5,available,phosphoenolpyruvate carboxykinase 1,6,0.38193003073364173,6418,1.0
SYT11,TCGA-BRCA,-0.5426344824001657,log2_fold_change,1.2767640606398586e-11,0.5095235234032326,0.018193,0.018193,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,synaptotagmin 11,2,0.38192913085080815,6419,1.0
RCCD1,TCGA-BRCA,0.3250775504166068,log2_fold_change,2.21610691650158e-12,0.3073965030343087,0.220205,0.220205,available,unprognostic - favorable,favorable,0.0,available,3,1.0,available,RCC1 domain containing 1,1,0.38190037575857716,6420,1.0
CASZ1,TCGA-BRCA,0.5592623918501829,log2_fold_change,5.063378000081097e-07,0.5223817821306255,0.005175,0.005175,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,castor zinc finger 1,0,0.3818891955326564,6421,1.0
NDP,TCGA-BRCA,-0.5546233899470643,log2_fold_change,0.0002961459909708,0.5191371747881992,0.008409,0.008409,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,norrin cystine knot growth factor NDP,0,0.3818865436970498,6422,1.0
C14orf169,TCGA-BRCA,0.5665176094292264,log2_fold_change,7.743518104277868e-33,0.527428949107733,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.3818572372769332,6423,1.0
KIAA0415,TCGA-BRCA,0.5660944561723333,log2_fold_change,6.06649327889992e-20,0.5271285225019527,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,,0,0.38178213062548816,6424,1.0
APOD,TCGA-BRCA,-3.2992532600873226,log2_fold_change,1.0482201872158083e-76,0.9790302229165415,0.047991,0.047991,available,unprognostic - favorable,favorable,0.0,available,2,0.5,available,apolipoprotein D,2,0.38175530572913535,6425,1.0
NUP62CL,TCGA-BRCA,0.5658103168129989,log2_fold_change,1.027690040323455e-05,0.5270083518596407,0.0,0.0,no_support,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,nucleoporin 62 C-terminal like,0,0.38175208796491017,6426,1.0
RAB40B,TCGA-BRCA,-0.4861396799884847,log2_fold_change,1.7737227407535788e-22,0.4634380820765487,0.063517,0.063517,available,unprognostic - unfavorable,unfavorable,0.0,available,3,1.0,available,"RAB40B, member RAS oncogene family",1,0.3817387705191372,6427,1.0
AKAP14,TCGA-BRCA,0.5657573182043532,log2_fold_change,1.25793431170791e-29,0.5268881812173286,0.0,0.0,no_support,,,0.0,no_support,3,1.0,available,A-kinase anchoring protein 14,0,0.3817220453043322,6428,1.0
